絏,虏嘿,る,害禴碩%
SB56   ,瓣NASDAQ Composite计,20231020,  -1.5346
SB5602 ,瓣NASDAQ 100计,20231020,  -1.5034
SB57   ,瓣NASDAQ Computer计,20231020,  -1.5935
SB56   ,瓣NASDAQ Composite计,20231023,   0.2659
SB5602 ,瓣NASDAQ 100计,20231023,   0.3020
SB57   ,瓣NASDAQ Computer计,20231023,   0.5631
SB56   ,瓣NASDAQ Composite计,20231024,   0.9337
SB5602 ,瓣NASDAQ 100计,20231024,   0.9655
SB57   ,瓣NASDAQ Computer计,20231024,   0.8758
SB56   ,瓣NASDAQ Composite计,20231025,  -2.4251
SB5602 ,瓣NASDAQ 100计,20231025,  -2.4700
SB57   ,瓣NASDAQ Computer计,20231025,  -2.6065
SB56   ,瓣NASDAQ Composite计,20231026,  -1.7597
SB5602 ,瓣NASDAQ 100计,20231026,  -1.8918
SB57   ,瓣NASDAQ Computer计,20231026,  -2.4246
SB56   ,瓣NASDAQ Composite计,20231027,   0.3763
SB5602 ,瓣NASDAQ 100计,20231027,   0.5021
SB57   ,瓣NASDAQ Computer计,20231027,   0.6710
SB56   ,瓣NASDAQ Composite计,20231030,   1.1585
SB5602 ,瓣NASDAQ 100计,20231030,   1.0937
SB57   ,瓣NASDAQ Computer计,20231030,   1.2558
SB56   ,瓣NASDAQ Composite计,20231031,   0.4829
SB5602 ,瓣NASDAQ 100计,20231031,   0.5181
SB57   ,瓣NASDAQ Computer计,20231031,   0.2627
SB56   ,瓣NASDAQ Composite计,20231101,   1.6359
SB5602 ,瓣NASDAQ 100计,20231101,   1.7705
SB57   ,瓣NASDAQ Computer计,20231101,   2.0607
SB56   ,瓣NASDAQ Composite计,20231102,   1.7817
SB5602 ,瓣NASDAQ 100计,20231102,   1.7363
SB57   ,瓣NASDAQ Computer计,20231102,   1.4903
SB56   ,瓣NASDAQ Composite计,20231103,   1.3847
SB5602 ,瓣NASDAQ 100计,20231103,   1.2061
SB57   ,瓣NASDAQ Computer计,20231103,   1.2522
SB56   ,瓣NASDAQ Composite计,20231106,   0.3005
SB5602 ,瓣NASDAQ 100计,20231106,   0.3672
SB57   ,瓣NASDAQ Computer计,20231106,   0.7052
SB56   ,瓣NASDAQ Composite计,20231107,   0.8956
SB5602 ,瓣NASDAQ 100计,20231107,   0.9310
SB57   ,瓣NASDAQ Computer计,20231107,   1.2051
SB56   ,瓣NASDAQ Composite计,20231108,   0.0773
SB5602 ,瓣NASDAQ 100计,20231108,   0.1126
SB57   ,瓣NASDAQ Computer计,20231108,   0.5523
SB56   ,瓣NASDAQ Composite计,20231109,  -0.9447
SB5602 ,瓣NASDAQ 100计,20231109,  -0.8185
SB57   ,瓣NASDAQ Computer计,20231109,  -0.4928
SB56   ,瓣NASDAQ Composite计,20231110,   2.0461
SB5602 ,瓣NASDAQ 100计,20231110,   2.2467
SB57   ,瓣NASDAQ Computer计,20231110,   2.6269
SB56   ,瓣NASDAQ Composite计,20231113,  -0.2201
SB5602 ,瓣NASDAQ 100计,20231113,  -0.2983
SB57   ,瓣NASDAQ Computer计,20231113,  -0.5021
SB56   ,瓣NASDAQ Composite计,20231114,   2.3725
SB5602 ,瓣NASDAQ 100计,20231114,   2.1293
SB57   ,瓣NASDAQ Computer计,20231114,   1.9903
SB56   ,瓣NASDAQ Composite计,20231115,   0.0671
SB5602 ,瓣NASDAQ 100计,20231115,   0.0298
SB57   ,瓣NASDAQ Computer计,20231115,  -0.0107
SB56   ,瓣NASDAQ Composite计,20231116,   0.0697
SB5602 ,瓣NASDAQ 100计,20231116,   0.1011
SB57   ,瓣NASDAQ Computer计,20231116,   0.8763
SB56   ,瓣NASDAQ Composite计,20231117,   0.0837
SB5602 ,瓣NASDAQ 100计,20231117,   0.0304
SB57   ,瓣NASDAQ Computer计,20231117,  -0.3266
SB56   ,瓣NASDAQ Composite计,20231120,   1.1260
SB5602 ,瓣NASDAQ 100计,20231120,   1.1938
SB57   ,瓣NASDAQ Computer计,20231120,   1.4587
SB56   ,瓣NASDAQ Composite计,20231121,  -0.5919
SB5602 ,瓣NASDAQ 100计,20231121,  -0.5830
SB57   ,瓣NASDAQ Computer计,20231121,  -0.7487
SB56   ,瓣NASDAQ Composite计,20231122,   0.4639
SB5602 ,瓣NASDAQ 100计,20231122,   0.4253
SB57   ,瓣NASDAQ Computer计,20231122,   0.4211
SB56   ,瓣NASDAQ Composite计,20231124,  -0.1051
SB5602 ,瓣NASDAQ 100计,20231124,  -0.1330
SB57   ,瓣NASDAQ Computer计,20231124,  -0.4668
SB56   ,瓣NASDAQ Composite计,20231127,  -0.0690
SB5602 ,瓣NASDAQ 100计,20231127,  -0.1135
SB57   ,瓣NASDAQ Computer计,20231127,  -0.0487
SB56   ,瓣NASDAQ Composite计,20231128,   0.2861
SB5602 ,瓣NASDAQ 100计,20231128,   0.3035
SB57   ,瓣NASDAQ Computer计,20231128,   0.4363
SB56   ,瓣NASDAQ Composite计,20231129,  -0.1629
SB5602 ,瓣NASDAQ 100计,20231129,  -0.1426
SB57   ,瓣NASDAQ Computer计,20231129,  -0.2547
SB56   ,瓣NASDAQ Composite计,20231130,  -0.2263
SB5602 ,瓣NASDAQ 100计,20231130,  -0.2485
SB57   ,瓣NASDAQ Computer计,20231130,  -0.5941
SB56   ,瓣NASDAQ Composite计,20231201,   0.5540
SB5602 ,瓣NASDAQ 100计,20231201,   0.3117
SB57   ,瓣NASDAQ Computer计,20231201,   0.0225
