證券代碼,簡稱,TSE新產業_名稱,年月日,報酬率％,成交量(千股),本益比-TEJ,本益比-TSE
Y9999  ,加權指數     ,-         ,20221229,    -0.6215,  4180927,    10.6258,          -
2305   ,全友         ,電腦及週邊,20221230,    -0.5837,      437,    86.6401,    67.2400
2809   ,京城銀       ,金融業    ,20221230,     1.3453,     1454,    46.3280,    46.4400
Y9999  ,加權指數     ,-         ,20221230,     0.3739,  3496035,    10.6670,          -
2305   ,全友         ,電腦及週邊,20230103,     2.9354,      731,    89.1833,     3.1800
2809   ,京城銀       ,金融業    ,20230103,    -1.0324,      525,    45.8497,     7.8000
Y9999  ,加權指數     ,-         ,20230103,     0.6113,  4427323,    10.7352,          -
2305   ,全友         ,電腦及週邊,20230104,     1.5209,      806,    90.5397,    70.2600
2809   ,京城銀       ,金融業    ,20230104,    -0.1490,      769,    45.7814,    45.8900
Y9999  ,加權指數     ,-         ,20230104,    -0.1757,  4516111,    10.7156,          -
2305   ,全友         ,電腦及週邊,20230105,    -2.4345,      611,    88.3356,    68.5500
2809   ,京城銀       ,金融業    ,20230105,     0.5970,     1578,    46.0547,    46.1600
Y9999  ,加權指數     ,-         ,20230105,     0.7178,  4699844,    10.7919,          -
2305   ,全友         ,電腦及週邊,20230106,    -0.3839,      431,    87.9965,    68.2900
2809   ,京城銀       ,金融業    ,20230106,     0.8902,     1470,    46.4647,    46.5800
Y9999  ,加權指數     ,-         ,20230106,     0.5055,  4361333,    10.8505,          -
2305   ,全友         ,電腦及週邊,20230109,     0.3854,      412,    88.3356,    68.5500
2809   ,京城銀       ,金融業    ,20230109,     0.5882,     1740,    46.7380,    46.8500
Y9999  ,加權指數     ,-         ,20230109,     2.6359,  6095905,    11.1363,          -
2305   ,全友         ,電腦及週邊,20230110,    -1.9194,      521,    86.6401,    67.2400
2809   ,京城銀       ,金融業    ,20230110,     0.1462,     1420,    46.8063,    46.9200
Y9999  ,加權指數     ,-         ,20230110,     0.3440,  4629202,    11.1752,          -
2305   ,全友         ,電腦及週邊,20230111,    -0.1957,      428,    86.4705,    67.1100
2809   ,京城銀       ,金融業    ,20230111,     0.2920,      949,    46.9430,    47.0500
Y9999  ,加權指數     ,-         ,20230111,    -0.3480,  3994253,    11.1355,          -
2305   ,全友         ,電腦及週邊,20230112,    -0.5882,      327,    85.9619,    66.7100
2809   ,京城銀       ,金融業    ,20230112,    -0.2911,      720,    46.8063,    46.9200
Y9999  ,加權指數     ,-         ,20230112,    -0.1342,  3765175,    11.1212,          -
2305   ,全友         ,電腦及週邊,20230113,    -1.3807,      381,    84.7750,    65.7900
2809   ,京城銀       ,金融業    ,20230113,     0.2920,      447,    46.9430,    47.0500
Y9999  ,加權指數     ,-         ,20230113,     0.6278,  3918527,    11.1917,          -
2305   ,全友         ,電腦及週邊,20230116,     1.0000,      307,    85.6228,    66.4500
2809   ,京城銀       ,金融業    ,20230116,     0.2911,      717,    47.0797,    47.1900
Y9999  ,加權指數     ,-         ,20230116,     0.6940,  3571501,    11.2701,          -
2305   ,全友         ,電腦及週邊,20230117,     0.5941,      282,    86.1314,    66.8400
2809   ,京城銀       ,金融業    ,20230117,     1.4514,     2908,    47.7630,    47.8800
Y9999  ,加權指數     ,-         ,20230117,     0.0397,  3360505,    11.2743,          -
2305   ,全友         ,電腦及週邊,20230130,     1.9685,      374,    87.8269,    68.1600
2809   ,京城銀       ,金融業    ,20230130,     1.2876,     2935,    48.3779,    48.4900
Y9999  ,加權指數     ,-         ,20230130,     3.7561,  6919326,    11.6964,          -
2305   ,全友         ,電腦及週邊,20230131,     1.9305,      656,    89.5224,    69.4700
2809   ,京城銀       ,金融業    ,20230131,    -2.1186,     3560,    47.3530,    47.4700
Y9999  ,加權指數     ,-         ,20230131,    -1.4756,  6170613,    11.5215,          -
2305   ,全友         ,電腦及週邊,20230201,    -0.9470,      558,    88.6747,    68.8200
2809   ,京城銀       ,金融業    ,20230201,     0.8658,      956,    47.7630,    47.8800
Y9999  ,加權指數     ,-         ,20230201,     1.0149,  5598484,    11.6006,          -
2305   ,全友         ,電腦及週邊,20230202,     1.9120,      647,    90.3702,    70.1300
2809   ,京城銀       ,金融業    ,20230202,     0.7153,      972,    48.1046,    48.2200
Y9999  ,加權指數     ,-         ,20230202,     1.1351,  6557794,    11.7318,          -
2305   ,全友         ,電腦及週邊,20230203,    -1.6886,      483,    88.8442,    68.9500
2809   ,京城銀       ,金融業    ,20230203,     0.5682,     2254,    48.3779,    48.4900
Y9999  ,加權指數     ,-         ,20230203,     0.0481,  5360074,    11.7376,          -
2305   ,全友         ,電腦及週邊,20230206,    -0.9542,      294,    87.9965,    68.2900
2809   ,京城銀       ,金融業    ,20230206,    -0.2825,     1250,    48.2413,    48.3600
Y9999  ,加權指數     ,-         ,20230206,    -1.3449,  4662408,    11.5787,          -
2305   ,全友         ,電腦及週邊,20230207,     0.0000,      308,    87.9965,    68.2900
2809   ,京城銀       ,金融業    ,20230207,     0.2833,     1178,    48.3779,    48.4900
Y9999  ,加權指數     ,-         ,20230207,     0.0526,  4292987,    11.5918,          -
2305   ,全友         ,電腦及週邊,20230208,    -0.7707,      283,    87.3183,    67.7600
2809   ,京城銀       ,金融業    ,20230208,    -0.2825,      611,    48.2413,    48.3600
Y9999  ,加權指數     ,-         ,20230208,     1.4107,  5255236,    11.7541,          -
2305   ,全友         ,電腦及週邊,20230209,    -0.9709,      453,    86.4705,    67.1100
2809   ,京城銀       ,金融業    ,20230209,    -1.2748,     1316,    47.6263,    47.7400
Y9999  ,加權指數     ,-         ,20230209,    -0.1246,  4366230,    11.7389,          -
2305   ,全友         ,電腦及週邊,20230210,    -1.9608,      653,    84.7750,    65.7900
2809   ,京城銀       ,金融業    ,20230210,    -0.2869,      830,    47.4896,    47.6000
Y9999  ,加權指數     ,-         ,20230210,    -0.0773,  4597233,    11.7315,          -
2305   ,全友         ,電腦及週邊,20230213,     1.4000,      350,    85.9619,    66.7100
2809   ,京城銀       ,金融業    ,20230213,    -0.5755,     1294,    47.2163,    47.3300
Y9999  ,加權指數     ,-         ,20230213,    -0.2718,  4154146,    11.7011,          -
2305   ,全友         ,電腦及週邊,20230214,     0.7890,      288,    86.6401,    67.2400
2809   ,京城銀       ,金融業    ,20230214,     0.8683,      789,    47.6263,    47.7400
Y9999  ,加權指數     ,-         ,20230214,     0.7089,  4217899,    11.7842,          -
2305   ,全友         ,電腦及週邊,20230215,    -1.5656,      262,    85.2837,    66.1800
2809   ,京城銀       ,金融業    ,20230215,    -2.1521,     2374,    46.6013,    46.7100
Y9999  ,加權指數     ,-         ,20230215,    -1.4155,  5089910,    11.6178,          -
2305   ,全友         ,電腦及週邊,20230216,    -0.1988,      297,    85.1141,    66.0500
2809   ,京城銀       ,金融業    ,20230216,     0.2933,     1152,    46.7380,    46.8500
Y9999  ,加權指數     ,-         ,20230216,     0.7621,  5618302,    11.7056,          -
2305   ,全友         ,電腦及週邊,20230217,    -0.7968,      362,    84.4359,    65.5300
2809   ,京城銀       ,金融業    ,20230217,     0.0000,      720,    46.7380,    46.8500
Y9999  ,加權指數     ,-         ,20230217,    -0.4553,  5043332,    11.6528,          -
2305   ,全友         ,電腦及週邊,20230220,    -0.6024,      497,    83.9273,    65.1300
2809   ,京城銀       ,金融業    ,20230220,     1.1696,      573,    47.2846,    47.4000
Y9999  ,加權指數     ,-         ,20230220,     0.4621,  5273643,    11.7065,          -
2305   ,全友         ,電腦及週邊,20230221,     0.6061,      612,    84.4359,    65.5300
2809   ,京城銀       ,金融業    ,20230221,    -0.5780,      703,    47.0113,    17.2900
Y9999  ,加權指數     ,-         ,20230221,     0.0757,  5253377,    11.7119,          -
2305   ,全友         ,電腦及週邊,20230222,    -2.6104,     1067,    82.2318,    63.8200
2809   ,京城銀       ,金融業    ,20230222,    -0.5814,      977,    46.7380,    17.1900
Y9999  ,加權指數     ,-         ,20230222,    -0.9267,  5402433,    11.6043,          -
2305   ,全友         ,電腦及週邊,20230223,    -0.6186,      608,    81.7231,    63.4200
2809   ,京城銀       ,金融業    ,20230223,    -0.2924,     1947,    46.6013,    17.1400
Y9999  ,加權指數     ,-         ,20230223,     1.2753,  5872036,    11.7516,          -
2305   ,全友         ,電腦及週邊,20230224,    -1.8672,      788,    80.1972,    62.2400
2809   ,京城銀       ,金融業    ,20230224,     0.0000,     1047,    46.6013,    17.1400
Y9999  ,加權指數     ,-         ,20230224,    -0.7148,  5901107,    11.6694,          -
2305   ,全友         ,電腦及週邊,20230301,     0.4228,      608,    80.5363,    62.5000
2809   ,京城銀       ,金融業    ,20230301,    -0.8798,     1498,    46.1914,    16.9800
Y9999  ,加權指數     ,-         ,20230301,     0.6108,  5674842,    11.7371,          -
2305   ,全友         ,電腦及週邊,20230302,    -1.2632,      477,    79.5190,    61.7100
2809   ,京城銀       ,金融業    ,20230302,     0.4438,      563,    46.3963,    17.0600
Y9999  ,加權指數     ,-         ,20230302,     0.0015,  4940073,    11.7366,          -
2305   ,全友         ,電腦及週邊,20230303,     9.8081,     2508,    87.3183,    67.7600
2809   ,京城銀       ,金融業    ,20230303,     1.9146,     1550,    47.2846,    17.3900
Y9999  ,加權指數     ,-         ,20230303,     0.0622,  5370269,    11.7434,          -
2305   ,全友         ,電腦及週邊,20230306,     6.7961,     6969,    93.2525,    72.3700
2809   ,京城銀       ,金融業    ,20230306,     0.2890,      935,    47.4213,    17.4400
Y9999  ,加權指數     ,-         ,20230306,     0.9936,  6090623,    11.8601,          -
2305   ,全友         ,電腦及週邊,20230307,    -3.4545,     1829,    90.0311,    69.8700
2809   ,京城銀       ,金融業    ,20230307,     1.0086,     1398,    47.8996,    17.6100
Y9999  ,加權指數     ,-         ,20230307,     0.5987,  5513326,    11.9318,          -
2305   ,全友         ,電腦及週邊,20230308,    -2.6365,     1506,    87.6574,    68.0300
2809   ,京城銀       ,金融業    ,20230308,    -0.1427,     1031,    47.8313,    17.5900
Y9999  ,加權指數     ,-         ,20230308,    -0.2503,  6050588,    11.9028,          -
2305   ,全友         ,電腦及週邊,20230309,     0.5803,     1508,    88.1660,    68.4200
2809   ,京城銀       ,金融業    ,20230309,     0.0000,      812,    47.8313,    17.5900
Y9999  ,加權指數     ,-         ,20230309,    -0.3005,  5887831,    11.8667,          -
2305   ,全友         ,電腦及週邊,20230310,    -0.9615,     1039,    87.3183,    67.7600
2809   ,京城銀       ,金融業    ,20230310,    -1.2857,      814,    47.2163,    17.3600
Y9999  ,加權指數     ,-         ,20230310,    -1.5501,  7209043,    11.6843,          -
2305   ,全友         ,電腦及週邊,20230313,    -1.7476,      667,    85.7923,    66.5800
2809   ,京城銀       ,金融業    ,20230313,     0.1447,     1017,    47.2846,    17.3900
Y9999  ,加權指數     ,-         ,20230313,     0.2209,  6154789,    11.7036,          -
2305   ,全友         ,電腦及週邊,20230314,    -0.9881,      326,    84.9446,    65.9200
2809   ,京城銀       ,金融業    ,20230314,    -1.1561,     1028,    46.7380,    17.1900
Y9999  ,加權指數     ,-         ,20230314,    -1.2858,  6129081,    11.5536,          -
2305   ,全友         ,電腦及週邊,20230315,    -0.3992,      352,    84.6055,   415.8300
2809   ,京城銀       ,金融業    ,20230315,    -0.2924,      726,    46.6013,    17.1400
Y9999  ,加權指數     ,-         ,20230315,     0.1769,  5636769,    11.5750,          -
2305   ,全友         ,電腦及週邊,20230316,    -4.4088,      710,    80.8754,   397.5000
2809   ,京城銀       ,金融業    ,20230316,    -2.0528,     2609,    45.6447,    16.7800
