證券代碼,簡稱,TSE新產業_名稱,年月日,報酬率％,成交量(千股),本益比-TEJ,本益比-TSE
2305   ,全友         ,電腦及週邊,20230519,    -2.2422,      256,    73.9238,          -
2809   ,京城銀       ,金融業    ,20230519,     0.5563,      914,    49.4029,    13.3400
Y9999  ,加權指數     ,-         ,20230519,     0.4536,  7207535,    12.1902,          -
2305   ,全友         ,電腦及週邊,20230522,     1.8349,      340,    75.2802,          -
2809   ,京城銀       ,金融業    ,20230522,     0.4149,     1392,    49.6079,    13.3900
Y9999  ,加權指數     ,-         ,20230522,     0.0369,  5888637,    12.1940,          -
2305   ,全友         ,電腦及週邊,20230523,     9.9099,     3171,    82.7404,          -
2809   ,京城銀       ,金融業    ,20230523,    -1.1019,     1862,    49.0612,    13.2500
Y9999  ,加權指數     ,-         ,20230523,     0.0441,  5513115,    12.1994,          -
2305   ,全友         ,電腦及週邊,20230524,    -2.0492,     3379,    81.0449,          -
2809   ,京城銀       ,金融業    ,20230524,     0.5571,     1825,    49.3346,    13.3200
Y9999  ,加權指數     ,-         ,20230524,    -0.1774,  5415815,    12.1769,          -
2305   ,全友         ,電腦及週邊,20230525,    -0.6276,      496,    80.5363,          -
2809   ,京城銀       ,金融業    ,20230525,    -1.9391,     1919,    48.3779,    13.0600
Y9999  ,加權指數     ,-         ,20230525,     0.8211,  6619735,    12.2776,          -
2305   ,全友         ,電腦及週邊,20230526,    -2.5263,     5776,    78.5017,          -
2809   ,京城銀       ,金融業    ,20230526,    -0.2825,     1959,    48.2413,    13.0300
Y9999  ,加權指數     ,-         ,20230526,     1.3077,  7255266,    12.4384,          -
2305   ,全友         ,電腦及週邊,20230529,    -0.2160,      284,    78.3321,          -
2809   ,京城銀       ,金融業    ,20230529,     0.1416,      956,    48.3096,    13.0400
Y9999  ,加權指數     ,-         ,20230529,     0.7952,  7191495,    12.5368,          -
2305   ,全友         ,電腦及週邊,20230530,    -1.0823,      186,    77.4844,          -
2809   ,京城銀       ,金融業    ,20230530,     0.1414,     1157,    48.3779,    13.0600
Y9999  ,加權指數     ,-         ,20230530,    -0.0815,  6482103,    12.5270,          -
2305   ,全友         ,電腦及週邊,20230531,     2.1882,      396,    79.1799,          -
2809   ,京城銀       ,金融業    ,20230531,     1.5537,     2120,    49.1296,    13.2700
Y9999  ,加權指數     ,-         ,20230531,    -0.2634,  7887933,    12.4937,          -
2305   ,全友         ,電腦及週邊,20230601,    -0.6424,      178,   729.4498,          -
2809   ,京城銀       ,金融業    ,20230601,    -0.5563,     1449,    13.1934,    13.1900
Y9999  ,加權指數     ,-         ,20230601,    -0.4000,  6519472,    16.5310,          -
2305   ,全友         ,電腦及週邊,20230602,     0.2155,      318,   731.0219,          -
2809   ,京城銀       ,金融業    ,20230602,     0.2797,      974,    13.2303,    13.2300
Y9999  ,加權指數     ,-         ,20230602,     1.1764,  7956094,    16.7210,          -
2305   ,全友         ,電腦及週邊,20230605,     1.2903,      255,   740.4544,          -
2809   ,京城銀       ,金融業    ,20230605,     0.6974,     2969,    13.3226,    13.3200
Y9999  ,加權指數     ,-         ,20230605,     0.0450,  7901788,    16.7279,          -
2305   ,全友         ,電腦及週邊,20230606,    -2.3355,      287,   723.1614,          -
2809   ,京城銀       ,金融業    ,20230606,     0.4155,     3850,    13.3779,    13.3800
Y9999  ,加權指數     ,-         ,20230606,     0.2826,  6563012,    16.7779,          -
2305   ,全友         ,電腦及週邊,20230607,     0.0000,      126,   723.1614,          -
2809   ,京城銀       ,金融業    ,20230607,     0.5517,     3591,    13.0458,    13.0400
Y9999  ,加權指數     ,-         ,20230607,     0.9595,  6570149,    16.9378,          -
2305   ,全友         ,電腦及週邊,20230608,    -2.1739,      287,   707.4406,          -
2809   ,京城銀       ,金融業    ,20230608,    -0.4243,     1367,    12.9904,    12.9900
Y9999  ,加權指數     ,-         ,20230608,    -1.1156,  6632985,    16.7486,          -
2305   ,全友         ,電腦及週邊,20230609,     0.0000,      208,   707.4406,          -
2809   ,京城銀       ,金融業    ,20230609,     0.7102,     1482,    13.0827,    13.0800
Y9999  ,加權指數     ,-         ,20230609,     0.9126,  6166466,    16.8994,          -
2305   ,全友         ,電腦及週邊,20230612,    10.0000,     3122,   778.1845,          -
2809   ,京城銀       ,金融業    ,20230612,    -0.2821,     1389,    13.0458,    13.0400
Y9999  ,加權指數     ,-         ,20230612,     0.4084,  6805620,    16.9680,          -
2305   ,全友         ,電腦及週邊,20230613,    -0.8081,     5069,   771.8962,          -
2809   ,京城銀       ,金融業    ,20230613,     1.1315,     2569,    13.1934,    13.1900
Y9999  ,加權指數     ,-         ,20230613,     1.5407,  7487726,    17.2311,          -
2305   ,全友         ,電腦及週邊,20230614,    -1.6293,      818,   759.3195,          -
2809   ,京城銀       ,金融業    ,20230614,     0.4196,     2185,    13.2487,    13.2500
Y9999  ,加權指數     ,-         ,20230614,     0.1251,  7369331,    17.2597,          -
2305   ,全友         ,電腦及週邊,20230615,    -1.0352,      530,   751.4591,          -
2809   ,京城銀       ,金融業    ,20230615,     0.4178,     1887,    13.3041,    13.3000
Y9999  ,加權指數     ,-         ,20230615,     0.5618,  8147091,    17.3570,          -
2305   ,全友         ,電腦及週邊,20230616,    -1.0460,      402,   743.5987,          -
2809   ,京城銀       ,金融業    ,20230616,    -2.0804,     4659,    13.0273,    13.0300
Y9999  ,加權指數     ,-         ,20230616,    -0.2658,  9722832,    17.3092,          -
2305   ,全友         ,電腦及週邊,20230619,     3.5941,     2118,   770.3241,          -
2809   ,京城銀       ,金融業    ,20230619,     1.5581,     4981,    13.2303,    13.2300
Y9999  ,加權指數     ,-         ,20230619,    -0.0830,  7496332,    17.2942,          -
2305   ,全友         ,電腦及週邊,20230620,    -1.6327,      508,   757.7474,          -
2809   ,京城銀       ,金融業    ,20230620,     0.2789,     4153,    13.2672,    13.2700
Y9999  ,加權指數     ,-         ,20230620,    -0.5190,  6812226,    17.2043,          -
2305   ,全友         ,電腦及週邊,20230621,     2.4896,     1264,   776.6124,          -
2809   ,京城銀       ,金融業    ,20230621,    -0.8345,     2215,    13.1565,    13.1500
Y9999  ,加權指數     ,-         ,20230621,     0.1018,  6883193,    17.2236,          -
2305   ,全友         ,電腦及週邊,20230626,    -2.6316,      501,   756.1754,          -
2809   ,京城銀       ,金融業    ,20230626,    -0.2805,     1788,    13.1196,    13.1200
Y9999  ,加權指數     ,-         ,20230626,    -0.8322,  6663091,    17.0746,          -
2305   ,全友         ,電腦及週邊,20230627,    -1.0395,      437,   748.3149,          -
2809   ,京城銀       ,金融業    ,20230627,    -0.5626,     1317,    13.0458,    13.0400
Y9999  ,加權指數     ,-         ,20230627,    -1.0044,  6665715,    16.9038,          -
2305   ,全友         ,電腦及週邊,20230628,    -0.4202,      315,   745.1708,          -
2809   ,京城銀       ,金融業    ,20230628,     0.1414,     1234,    13.0642,    13.0600
Y9999  ,加權指數     ,-         ,20230628,     0.2826,  5940529,    16.9510,          -
2305   ,全友         ,電腦及週邊,20230629,    -0.2110,      254,   743.5987,          -
2809   ,京城銀       ,金融業    ,20230629,     0.4237,      519,    13.1196,    13.1200
Y9999  ,加權指數     ,-         ,20230629,     0.0394,  6173036,    16.9577,          -
2305   ,全友         ,電腦及週邊,20230630,     0.0000,      203,   743.5987,          -
2809   ,京城銀       ,金融業    ,20230630,     0.0000,      396,    13.1196,    13.1200
Y9999  ,加權指數     ,-         ,20230630,    -0.1579,  6671810,    16.9374,          -
2305   ,全友         ,電腦及週邊,20230703,    -0.4228,      331,   740.4544,          -
2809   ,京城銀       ,金融業    ,20230703,     0.1406,      681,    13.1380,    13.1400
Y9999  ,加權指數     ,-         ,20230703,     0.9971,  7331767,    17.1091,          -
2305   ,全友         ,電腦及週邊,20230704,    -1.0616,      318,   732.5939,          -
2809   ,京城銀       ,金融業    ,20230704,    -0.1404,      676,    13.1196,    13.1200
Y9999  ,加權指數     ,-         ,20230704,     0.3311,  7871863,    17.1644,          -
2305   ,全友         ,電腦及週邊,20230705,    -1.0730,      319,   724.7335,          -
2809   ,京城銀       ,金融業    ,20230705,     1.9691,     4229,    13.3779,    13.3800
Y9999  ,加權指數     ,-         ,20230705,    -0.4920,  7217347,    17.0803,          -
2305   ,全友         ,電腦及週邊,20230706,    -0.2169,      300,   723.1614,          -
2809   ,京城銀       ,金融業    ,20230706,    -0.2759,     1292,    13.3410,    13.3400
Y9999  ,加權指數     ,-         ,20230706,    -1.7252,  7816400,    16.7850,          -
2305   ,全友         ,電腦及週邊,20230707,    -1.7391,      504,   710.5848,          -
2809   ,京城銀       ,金融業    ,20230707,    -0.1383,      957,    13.3226,    13.3200
Y9999  ,加權指數     ,-         ,20230707,    -0.5844,  6788204,    16.6866,          -
2305   ,全友         ,電腦及週邊,20230710,    -0.4425,      234,   707.4406,          -
2809   ,京城銀       ,金融業    ,20230710,    -0.2770,      674,    13.2856,    13.2800
Y9999  ,加權指數     ,-         ,20230710,    -0.0685,  6060325,    16.6767,          -
2305   ,全友         ,電腦及週邊,20230711,    -2.0000,      543,   693.2917,          -
2809   ,京城銀       ,金融業    ,20230711,     0.2778,      714,    13.3226,    13.3200
Y9999  ,加權指數     ,-         ,20230711,     1.4779,  6961862,    16.9231,          -
2305   ,全友         ,電腦及週邊,20230712,    -2.9478,      734,   672.8546,          -
2809   ,京城銀       ,金融業    ,20230712,    -0.1385,      531,    13.3041,    13.3000
Y9999  ,加權指數     ,-         ,20230712,     0.3735,  7334366,    16.9877,          -
2305   ,全友         ,電腦及週邊,20230713,     0.2336,      584,   674.4267,          -
2809   ,京城銀       ,金融業    ,20230713,     0.1387,     1265,    13.3226,    13.3200
Y9999  ,加權指數     ,-         ,20230713,     0.5858,  9286862,    17.0877,          -
2305   ,全友         ,電腦及週邊,20230714,     0.2331,      335,   675.9988,          -
2809   ,京城銀       ,金融業    ,20230714,     0.1385,      860,    13.3410,    13.3400
Y9999  ,加權指數     ,-         ,20230714,     1.3030,  8343133,    17.3091,          -
2305   ,全友         ,電腦及週邊,20230717,     1.6279,      348,   687.0034,          -
2809   ,京城銀       ,金融業    ,20230717,     0.5533,     1392,    13.4148,    13.4100
Y9999  ,加權指數     ,-         ,20230717,     0.2926,  8368565,    17.3601,          -
2305   ,全友         ,電腦及週邊,20230718,    -0.6865,      347,   682.2871,          -
2809   ,京城銀       ,金融業    ,20230718,     0.0000,      912,    13.4148,    13.4100
Y9999  ,加權指數     ,-         ,20230718,    -0.6137,  9775425,    17.2545,          -
2305   ,全友         ,電腦及週邊,20230719,     1.1521,      376,   690.1475,          -
2809   ,京城銀       ,金融業    ,20230719,    -0.2751,     1272,    13.3779,    13.3800
Y9999  ,加權指數     ,-         ,20230719,    -0.6470,  8084533,    17.1420,          -
2305   ,全友         ,電腦及週邊,20230720,     2.2779,      644,   705.8685,          -
2809   ,京城銀       ,金融業    ,20230720,     0.4138,     1001,    13.4333,    13.4300
Y9999  ,加權指數     ,-         ,20230720,     0.2831,  6313982,    17.1904,          -
2305   ,全友         ,電腦及週邊,20230721,    -2.4499,      265,   688.5754,          -
2809   ,京城銀       ,金融業    ,20230721,    -0.2747,     1033,    13.3964,    13.3900
Y9999  ,加權指數     ,-         ,20230721,    -0.7818,  7694988,    17.0573,          -
2305   ,全友         ,電腦及週邊,20230724,    -3.8813,      507,   661.8499,          -
2809   ,京城銀       ,金融業    ,20230724,    -0.9642,     1931,    13.2672,    13.2700
Y9999  ,加權指數     ,-         ,20230724,     0.0171,  7182357,    17.0603,          -
2305   ,全友         ,電腦及週邊,20230725,     3.0879,      336,   682.2871,          -
2809   ,京城銀       ,金融業    ,20230725,    -0.4172,     2462,    13.2118,    13.2100
Y9999  ,加權指數     ,-         ,20230725,     0.9703,  7371305,    17.2248,          -
2305   ,全友         ,電腦及週邊,20230726,    -2.7650,      259,   663.4220,          -
2809   ,京城銀       ,金融業    ,20230726,     0.5587,     1367,    13.2856,    13.2800
Y9999  ,加權指數     ,-         ,20230726,    -0.2113,  7110367,    17.1902,          -
2305   ,全友         ,電腦及週邊,20230727,     1.8957,      205,   675.9988,          -
2809   ,京城銀       ,金融業    ,20230727,     0.1389,     1321,    13.3041,    13.3000
Y9999  ,加權指數     ,-         ,20230727,     0.4619,  7599016,    17.2700,          -
2305   ,全友         ,電腦及週邊,20230728,    -0.2326,      125,   674.4267,          -
2809   ,京城銀       ,金融業    ,20230728,     0.1387,     1449,    13.3226,    13.3200
Y9999  ,加權指數     ,-         ,20230728,     0.2964,  7744942,    17.3208,          -
2305   ,全友         ,電腦及週邊,20230731,    -0.2331,      357,   672.8546,          -
2809   ,京城銀       ,金融業    ,20230731,    -0.2770,     2225,    13.2856,    13.2800
Y9999  ,加權指數     ,-         ,20230731,    -0.8529,  9128395,    17.1762,          -
2305   ,全友         ,電腦及週邊,20230801,    -0.4673,      137,   669.7104,          -
2809   ,京城銀       ,金融業    ,20230801,     0.4167,      672,    13.3410,    13.3400
Y9999  ,加權指數     ,-         ,20230801,     0.3933,  7063479,    17.2877,          -
2305   ,全友         ,電腦及週邊,20230802,    -1.4085,      369,   660.2778,          -
2809   ,京城銀       ,金融業    ,20230802,    -0.5533,     1227,    13.2672,    13.2700
Y9999  ,加權指數     ,-         ,20230802,    -1.8541,  9190407,    16.9677,          -
2305   ,全友         ,電腦及週邊,20230804,    -0.2381,      462,   658.7057,          -
2809   ,京城銀       ,金融業    ,20230804,     2.0862,     4153,    13.5440,    13.5400
Y9999  ,加權指數     ,-         ,20230804,    -0.2963,  7314773,    16.9170,          -
2305   ,全友         ,電腦及週邊,20230807,    -0.4773,      229,   655.5615,          -
2809   ,京城銀       ,金融業    ,20230807,    -0.4087,     1021,    13.4886,    13.4900
Y9999  ,加權指數     ,-         ,20230807,     0.9043,  6264641,    17.0703,          -
2305   ,全友         ,電腦及週邊,20230808,    -3.3573,      501,   633.5524,          -
2809   ,京城銀       ,金融業    ,20230808,     0.4104,     1000,    13.5440,    13.5400
Y9999  ,加權指數     ,-         ,20230808,    -0.6998,  6750517,    16.9501,          -
2305   ,全友         ,電腦及週邊,20230809,    -0.4963,      301,   630.4082,          -
2809   ,京城銀       ,金融業    ,20230809,    -0.5450,      850,    13.4702,    13.4700
Y9999  ,加權指數     ,-         ,20230809,    -0.0363,  5957436,    16.9441,          -
2305   ,全友         ,電腦及週邊,20230810,     9.9751,     3080,   693.2917,          -
2809   ,京城銀       ,金融業    ,20230810,     0.1370,      669,    13.4886,    13.4900
Y9999  ,加權指數     ,-         ,20230810,    -1.4003,  7182123,    16.7079,          -
2305   ,全友         ,電腦及週邊,20230811,    -2.4943,     5464,   675.9988,          -
2809   ,京城銀       ,金融業    ,20230811,     0.0000,      696,    13.4886,    13.4900
Y9999  ,加權指數     ,-         ,20230811,    -0.2011,  5629266,    16.6738,          -
2305   ,全友         ,電腦及週邊,20230814,    -5.8140,     1359,   636.6965,          -
2809   ,京城銀       ,金融業    ,20230814,    -0.8208,     1922,    13.3779,    13.3800
Y9999  ,加權指數     ,-         ,20230814,    -1.2504,  7357665,    16.4657,          -
2305   ,全友         ,電腦及週邊,20230815,     0.7407,      459,   641.4128,          -
2809   ,京城銀       ,金融業    ,20230815,     0.5517,      837,    13.4517,    10.9100
Y9999  ,加權指數     ,-         ,20230815,     0.3729,  5959257,    16.5411,          -
2305   ,全友         ,電腦及週邊,20230816,    -1.4706,      296,   631.9803,          -
2809   ,京城銀       ,金融業    ,20230816,    -0.5487,      755,    13.3779,    10.8500
Y9999  ,加權指數     ,-         ,20230816,    -0.0487,  6459109,    16.5331,          -
2305   ,全友         ,電腦及週邊,20230817,     1.9900,      324,   644.5569,          -
2809   ,京城銀       ,金融業    ,20230817,     0.1379,     1385,    13.3964,    10.8700
Y9999  ,加權指數     ,-         ,20230817,     0.4249,  7125689,    16.5670,          -
2305   ,全友         ,電腦及週邊,20230818,    -1.2195,      165,   636.6965,          -
2809   ,京城銀       ,金融業    ,20230818,     0.1377,      792,    13.4148,    10.8800
Y9999  ,加權指數     ,-         ,20230818,    -0.8195,  7246690,    16.4321,          -
2305   ,全友         ,電腦及週邊,20230821,    -0.4938,      187,   633.5524,          -
2809   ,京城銀       ,金融業    ,20230821,     0.1376,      605,    13.4333,    10.9000
Y9999  ,加權指數     ,-         ,20230821,     0.0011,  5426098,    16.4318,          -
2305   ,全友         ,電腦及週邊,20230822,    -1.2407,      314,   625.6918,          -
2809   ,京城銀       ,金融業    ,20230822,     0.5495,     1179,    13.5071,    10.9600
Y9999  ,加權指數     ,-         ,20230822,     0.3426,  5428567,    16.4888,          -
2305   ,全友         ,電腦及週邊,20230823,     0.5025,      158,   628.8361,          -
2809   ,京城銀       ,金融業    ,20230823,     0.0000,      609,    13.5071,    10.9600
Y9999  ,加權指數     ,-         ,20230823,     0.8474,  5531007,    16.6271,          -
2305   ,全友         ,電腦及週邊,20230824,    -0.7500,      268,   624.1197,          -
2809   ,京城銀       ,金融業    ,20230824,    -0.1366,      720,    13.4886,    10.9400
Y9999  ,加權指數     ,-         ,20230824,     1.1701,  7596547,    16.8102,          -
2305   ,全友         ,電腦及週邊,20230825,     0.0000,      148,   624.1197,          -
2809   ,京城銀       ,金融業    ,20230825,     0.4104,     1173,    13.5440,    10.9900
Y9999  ,加權指數     ,-         ,20230825,    -1.7250,  6149183,    16.5210,          -
2305   ,全友         ,電腦及週邊,20230828,     0.0000,      129,   624.1197,          -
2809   ,京城銀       ,金融業    ,20230828,     0.5450,     1154,    13.6178,    11.0500
Y9999  ,加權指數     ,-         ,20230828,     0.1679,  5650625,    16.5461,          -
2305   ,全友         ,電腦及週邊,20230829,    -0.2519,      107,   622.5476,          -
2809   ,京城銀       ,金融業    ,20230829,     0.4065,      607,    13.6731,    11.0900
Y9999  ,加權指數     ,-         ,20230829,     0.6929,  5029684,    16.6614,          -
2305   ,全友         ,電腦及週邊,20230830,     2.0202,      273,   635.1244,          -
2809   ,京城銀       ,金融業    ,20230830,     0.2699,      688,    13.7101,    11.1200
Y9999  ,加權指數     ,-         ,20230830,     0.5785,  5783468,    16.7572,          -
2305   ,全友         ,電腦及週邊,20230831,    -0.9901,       53,   628.8361,          -
2809   ,京城銀       ,金融業    ,20230831,    -0.6729,      971,    13.6178,    11.0500
Y9999  ,加權指數     ,-         ,20230831,    -0.5102,  6337598,    16.6733,          -
2305   ,全友         ,電腦及週邊,20230901,     0.2500,       90,   630.4082,          -
2809   ,京城銀       ,金融業    ,20230901,     0.0000,      413,    13.6178,    11.0500
Y9999  ,加權指數     ,-         ,20230901,     0.0627,  5858177,    16.6845,          -
2305   ,全友         ,電腦及週邊,20230904,    -0.2494,      145,   628.8361,          -
2809   ,京城銀       ,金融業    ,20230904,     1.3550,     1091,    13.8023,    11.2000
Y9999  ,加權指數     ,-         ,20230904,     0.8696,  5493751,    16.8292,          -
2305   ,全友         ,電腦及週邊,20230905,     3.0000,      398,   647.7011,          -
2809   ,京城銀       ,金融業    ,20230905,    -1.3369,     1073,    13.6178,    11.0500
Y9999  ,加權指數     ,-         ,20230905,     0.0114,  5389791,    16.8314,          -
2305   ,全友         ,電腦及週邊,20230906,    -1.6990,      308,   636.6965,          -
2809   ,京城銀       ,金融業    ,20230906,    -0.5420,      808,    13.5440,    10.9900
Y9999  ,加權指數     ,-         ,20230906,    -0.3183,  6167718,    16.7776,          -
2305   ,全友         ,電腦及週邊,20230907,    -0.9877,       86,   630.4082,          -
2809   ,京城銀       ,金融業    ,20230907,    -0.2725,      936,    13.5071,    10.9600
Y9999  ,加權指數     ,-         ,20230907,    -0.7111,  5529953,    16.6584,          -
2305   ,全友         ,電腦及週邊,20230908,     0.0000,       72,   630.4082,          -
2809   ,京城銀       ,金融業    ,20230908,     0.0000,      624,    13.5071,    10.9600
Y9999  ,加權指數     ,-         ,20230908,    -0.2595,  5107734,    16.6137,          -
2305   ,全友         ,電腦及週邊,20230911,     0.2494,      141,   631.9803,          -
2809   ,京城銀       ,金融業    ,20230911,    -0.1366,      714,    13.4886,    10.9400
Y9999  ,加權指數     ,-         ,20230911,    -0.8631,  6051740,    16.4710,          -
2305   ,全友         ,電腦及週邊,20230912,     1.9900,      243,   644.5569,          -
2809   ,京城銀       ,金融業    ,20230912,     0.4104,      512,    13.5440,    10.9900
Y9999  ,加權指數     ,-         ,20230912,     0.8505,  5408148,    16.6134,          -
2305   ,全友         ,電腦及週邊,20230913,     0.0000,      272,   644.5569,          -
2809   ,京城銀       ,金融業    ,20230913,     0.1362,      418,    13.5624,    11.0000
Y9999  ,加權指數     ,-         ,20230913,     0.0531,  5515375,    16.6224,          -
2305   ,全友         ,電腦及週邊,20230914,     2.9268,      590,   663.4220,          -
2809   ,京城銀       ,金融業    ,20230914,     0.9524,      987,    13.6916,    11.1100
Y9999  ,加權指數     ,-         ,20230914,     1.3633,  6359872,    16.8495,          -
2305   ,全友         ,電腦及週邊,20230915,     3.7915,      830,   688.5754,          -
2809   ,京城銀       ,金融業    ,20230915,     0.2695,     1369,    13.7285,    11.1400
Y9999  ,加權指數     ,-         ,20230915,     0.6745,  8158060,    16.9638,          -
2305   ,全友         ,電腦及週邊,20230918,     5.0228,     1713,   723.1614,          -
2809   ,京城銀       ,金融業    ,20230918,     0.4032,      943,    13.7839,    11.1800
Y9999  ,加權指數     ,-         ,20230918,    -1.3160,  6078273,    16.7402,          -
2305   ,全友         ,電腦及週邊,20230919,    -1.7391,      925,   710.5848,          -
2809   ,京城銀       ,金融業    ,20230919,    -0.5355,      815,    13.7101,    11.1200
Y9999  ,加權指數     ,-         ,20230919,    -0.3708,  5645206,    16.6781,          -
2305   ,全友         ,電腦及週邊,20230920,    -2.6549,      824,   691.7196,          -
2809   ,京城銀       ,金融業    ,20230920,     0.4038,      795,    13.7654,    11.1700
Y9999  ,加權指數     ,-         ,20230920,    -0.6105,  5988536,    16.5769,          -
2305   ,全友         ,電腦及週邊,20230921,    -2.5000,      488,   674.4267,          -
2809   ,京城銀       ,金融業    ,20230921,    -0.1340,     1383,    13.7470,    11.1500
Y9999  ,加權指數     ,-         ,20230921,    -1.3189,  6133771,    16.3586,          -
2305   ,全友         ,電腦及週邊,20230922,     6.9930,     1181,   721.5894,          -
2809   ,京城銀       ,金融業    ,20230922,    -0.9396,     1392,    13.6178,    11.0500
Y9999  ,加權指數     ,-         ,20230922,     0.1704,  5214709,    16.3864,          -
2305   ,全友         ,電腦及週邊,20230925,     0.8715,     1350,   727.8777,          -
2809   ,京城銀       ,金融業    ,20230925,     1.0840,     1175,    13.7654,    11.1700
Y9999  ,加權指數     ,-         ,20230925,     0.6592,  4790555,    16.4924,          -
2305   ,全友         ,電腦及週邊,20230926,    -0.6479,      481,   723.1614,          -
2809   ,京城銀       ,金融業    ,20230926,     0.2681,      850,    13.8023,    11.2000
Y9999  ,加權指數     ,-         ,20230926,    -1.0707,  5184686,    16.3159,          -
2305   ,全友         ,電腦及週邊,20230927,    -0.8696,      317,   716.8731,          -
2809   ,京城銀       ,金融業    ,20230927,    -0.2674,      743,    13.7654,    11.1700
Y9999  ,加權指數     ,-         ,20230927,     0.2107,  4601829,    16.3499,          -
2305   ,全友         ,電腦及週邊,20230928,    -0.2193,      559,   715.3010,          -
2809   ,京城銀       ,金融業    ,20230928,    -0.5362,      379,    13.6916,    11.1100
Y9999  ,加權指數     ,-         ,20230928,     0.2660,  5113712,    16.3949,          -
2305   ,全友         ,電腦及週邊,20231002,    -1.7582,     1158,          -,          -
2809   ,京城銀       ,金融業    ,20231002,     0.2695,      627,    11.1447,    11.1400
Y9999  ,加權指數     ,-         ,20231002,     1.2448,  5734001,    18.9110,          -
2305   ,全友         ,電腦及週邊,20231003,    -1.5660,      469,          -,          -
2809   ,京城銀       ,金融業    ,20231003,    -0.2688,      759,    11.1148,    11.1100
Y9999  ,加權指數     ,-         ,20231003,    -0.6219,  5892350,    18.7938,          -
2305   ,全友         ,電腦及週邊,20231004,    -2.7273,      486,          -,          -
2809   ,京城銀       ,金融業    ,20231004,     0.5391,     1887,    11.1747,    11.1700
Y9999  ,加權指數     ,-         ,20231004,    -1.0998,  5641720,    18.5862,          -
2305   ,全友         ,電腦及週邊,20231005,     0.4673,      507,          -,          -
2809   ,京城銀       ,金融業    ,20231005,    -0.1340,     1035,    11.1597,    11.1500
Y9999  ,加權指數     ,-         ,20231005,     1.1070,  5252903,    18.7920,          -
2305   ,全友         ,電腦及週邊,20231006,    -1.3953,      200,          -,          -
2809   ,京城銀       ,金融業    ,20231006,     0.2685,      552,    11.1897,    11.1800
Y9999  ,加權指數     ,-         ,20231006,     0.4075,  4802052,    18.8679,          -
2305   ,全友         ,電腦及週邊,20231011,    -0.4717,      206,          -,          -
2809   ,京城銀       ,金融業    ,20231011,     1.2048,     1767,    11.3245,    11.3200
Y9999  ,加權指數     ,-         ,20231011,     0.9168,  6743900,    19.0406,          -
2305   ,全友         ,電腦及週邊,20231012,     9.9526,     2332,          -,          -
2809   ,京城銀       ,金融業    ,20231012,    -0.3968,     1082,    11.2796,    11.2700
Y9999  ,加權指數     ,-         ,20231012,     0.9230,  5883086,    19.2150,          -
2305   ,全友         ,電腦及週邊,20231013,    -4.3103,     1615,          -,          -
2809   ,京城銀       ,金融業    ,20231013,     0.9296,     2762,    11.3844,    11.3800
Y9999  ,加權指數     ,-         ,20231013,    -0.2576,  5853685,    19.1658,          -
2305   ,全友         ,電腦及週邊,20231016,     1.3514,     1500,          -,          -
2809   ,京城銀       ,金融業    ,20231016,     0.0000,     1375,    11.3844,    11.3800
Y9999  ,加權指數     ,-         ,20231016,    -0.7766,  5507462,    19.0189,          -
2305   ,全友         ,電腦及週邊,20231017,     1.5556,     1180,          -,          -
2809   ,京城銀       ,金融業    ,20231017,     0.3947,     2213,    11.4294,    11.4200
Y9999  ,加權指數     ,-         ,20231017,    -0.0582,  5405131,    19.0087,          -
2305   ,全友         ,電腦及週邊,20231018,    -2.4070,      812,          -,          -
2809   ,京城銀       ,金融業    ,20231018,     1.4417,     5294,    11.5941,    11.5900
Y9999  ,加權指數     ,-         ,20231018,    -1.2116,  7147874,    18.7781,          -
2305   ,全友         ,電腦及週邊,20231019,     3.5874,     1118,          -,          -
2809   ,京城銀       ,金融業    ,20231019,    -1.0336,     2312,    11.4743,    11.4700
Y9999  ,加權指數     ,-         ,20231019,     0.0719,  5556554,    18.7929,          -
2305   ,全友         ,電腦及週邊,20231020,     9.9567,     6587,          -,          -
2809   ,京城銀       ,金融業    ,20231020,    -0.9138,     1606,    11.3694,    11.3600
Y9999  ,加權指數     ,-         ,20231020,    -0.0730,  6106263,    18.7838,          -
2305   ,全友         ,電腦及週邊,20231023,    -4.7244,    14264,          -,          -
2809   ,京城銀       ,金融業    ,20231023,    -0.6588,      793,    11.2945,    11.2900
Y9999  ,加權指數     ,-         ,20231023,    -1.1518,  4924750,    18.5673,          -
2305   ,全友         ,電腦及週邊,20231024,     9.9174,    11646,          -,          -
2809   ,京城銀       ,金融業    ,20231024,     0.1326,      761,    11.3095,    11.3000
Y9999  ,加權指數     ,-         ,20231024,     0.3594,  5390408,    18.6343,          -
2305   ,全友         ,電腦及週邊,20231025,    -3.1955,     9272,          -,          -
2809   ,京城銀       ,金融業    ,20231025,    -0.3974,     1155,    11.2646,    11.2600
Y9999  ,加權指數     ,-         ,20231025,     0.3012,  5418274,    18.6913,          -
2305   ,全友         ,電腦及週邊,20231026,    -3.3010,     5399,          -,          -
2809   ,京城銀       ,金融業    ,20231026,    -0.2660,      897,    11.2346,    11.2300
Y9999  ,加權指數     ,-         ,20231026,    -1.7431,  5682316,    18.3656,          -
2305   ,全友         ,電腦及週邊,20231027,     1.4056,     9395,          -,          -
2809   ,京城銀       ,金融業    ,20231027,     0.2667,      703,    11.2646,    11.2600
Y9999  ,加權指數     ,-         ,20231027,     0.3787,  4562736,    18.4354,          -
