證券名稱,簡稱,年月日,外資買賣超(千股),投信買賣超(千股),自營買賣超(千股)
Y9999  ,加權指數     ,20230201,    67390,    17168,    12882
2305   ,全友         ,20230202,      233,        0,       -4
2809   ,京城銀       ,20230202,      347,        1,      -32
Y9999  ,加權指數     ,20230202,   113339,    36516,     4588
2305   ,全友         ,20230203,     -242,        0,       -1
2809   ,京城銀       ,20230203,     1219,        0,      -12
Y9999  ,加權指數     ,20230203,    15974,    -1236,    -8348
2305   ,全友         ,20230206,       63,        0,        0
2809   ,京城銀       ,20230206,      214,        0,       12
Y9999  ,加權指數     ,20230206,   -42336,    11364,     2548
2305   ,全友         ,20230207,      -51,        0,        0
2809   ,京城銀       ,20230207,       98,        0,        7
Y9999  ,加權指數     ,20230207,    -9117,    12159,    17178
2305   ,全友         ,20230208,      -69,        0,      -10
2809   ,京城銀       ,20230208,      135,        0,       -4
Y9999  ,加權指數     ,20230208,   144807,    -4027,    24764
2305   ,全友         ,20230209,       23,        0,       -1
2809   ,京城銀       ,20230209,      -71,        0,        5
Y9999  ,加權指數     ,20230209,   -46275,     7451,    -7342
2305   ,全友         ,20230210,     -153,        0,      -11
2809   ,京城銀       ,20230210,     -266,        0,       18
Y9999  ,加權指數     ,20230210,  -145773,    21673,   -33168
2305   ,全友         ,20230213,       -6,        0,       -7
2809   ,京城銀       ,20230213,       56,        0,       41
Y9999  ,加權指數     ,20230213,   -38013,    32906,   -16170
2305   ,全友         ,20230214,       70,        0,        0
2809   ,京城銀       ,20230214,      248,        0,       -5
Y9999  ,加權指數     ,20230214,   142952,     3857,    13582
2305   ,全友         ,20230215,      -59,        0,        0
2809   ,京城銀       ,20230215,     -602,        0,       21
Y9999  ,加權指數     ,20230215,   -45955,   -13222,    19824
2305   ,全友         ,20230216,       29,        0,        0
2809   ,京城銀       ,20230216,     -210,        0,       97
Y9999  ,加權指數     ,20230216,   226029,    41892,    42850
2305   ,全友         ,20230217,      -63,        0,        0
2809   ,京城銀       ,20230217,      -19,        0,       23
Y9999  ,加權指數     ,20230217,    43805,    37880,    10271
2305   ,全友         ,20230220,        5,        0,        0
2809   ,京城銀       ,20230220,      171,        0,        6
Y9999  ,加權指數     ,20230220,    98285,    50830,    14481
2305   ,全友         ,20230221,       30,        0,        0
2809   ,京城銀       ,20230221,     -250,        0,       85
Y9999  ,加權指數     ,20230221,   -67234,    15275,    -1146
2305   ,全友         ,20230222,     -173,        0,        0
2809   ,京城銀       ,20230222,     -323,        0,        9
Y9999  ,加權指數     ,20230222,   -46744,    45931,   -34059
2305   ,全友         ,20230223,       -2,        0,        0
2809   ,京城銀       ,20230223,     -735,        0,      104
Y9999  ,加權指數     ,20230223,    43317,     7872,    23851
2305   ,全友         ,20230224,      -22,        0,       -6
2809   ,京城銀       ,20230224,     -452,        0,      234
Y9999  ,加權指數     ,20230224,   -77059,    14167,     6698
2305   ,全友         ,20230301,      276,        0,       -5
2809   ,京城銀       ,20230301,     -805,        0,       -8
Y9999  ,加權指數     ,20230301,  -293835,    24034,   -30025
2305   ,全友         ,20230302,      -93,        0,      -10
2809   ,京城銀       ,20230302,      -60,        1,      -11
Y9999  ,加權指數     ,20230302,   -69169,    34068,    -1910
2305   ,全友         ,20230303,      110,        0,       -5
2809   ,京城銀       ,20230303,      510,        0,      -14
Y9999  ,加權指數     ,20230303,    37392,    29790,    29344
2305   ,全友         ,20230306,     -250,        0,        0
2809   ,京城銀       ,20230306,     -163,        0,      122
Y9999  ,加權指數     ,20230306,   106336,    42634,    76172
2305   ,全友         ,20230307,     -183,        0,        0
2809   ,京城銀       ,20230307,      121,      118,       66
Y9999  ,加權指數     ,20230307,    78652,    47869,    26733
2305   ,全友         ,20230308,      -65,        0,        0
2809   ,京城銀       ,20230308,       67,        6,      107
Y9999  ,加權指數     ,20230308,  -102691,     1199,    37398
2305   ,全友         ,20230309,     -101,        0,        0
2809   ,京城銀       ,20230309,       -3,        1,       55
Y9999  ,加權指數     ,20230309,  -331899,    10880,     7874
2305   ,全友         ,20230310,      -30,        0,       -2
2809   ,京城銀       ,20230310,     -313,        0,      115
Y9999  ,加權指數     ,20230310,  -450892,    35199,   -45612
2305   ,全友         ,20230313,       33,        0,        0
2809   ,京城銀       ,20230313,      157,        0,       73
Y9999  ,加權指數     ,20230313,    18814,    49231,   -12096
2305   ,全友         ,20230314,       -9,        0,        0
2809   ,京城銀       ,20230314,     -349,       -2,       41
Y9999  ,加權指數     ,20230314,  -502161,    60696,   -23019
2305   ,全友         ,20230315,       25,        0,        0
2809   ,京城銀       ,20230315,      -98,       13,      -82
Y9999  ,加權指數     ,20230315,  -170890,    47832,   -19636
2305   ,全友         ,20230316,       69,        0,        1
2809   ,京城銀       ,20230316,     -248,        0,      117
Y9999  ,加權指數     ,20230316,  -236089,    30494,   -18420
2305   ,全友         ,20230317,       47,        0,        0
2809   ,京城銀       ,20230317,     -238,      -27,       -7
Y9999  ,加權指數     ,20230317,   -62087,    84870,     8896
2305   ,全友         ,20230320,       47,        0,        0
2809   ,京城銀       ,20230320,     -171,        0,       63
Y9999  ,加權指數     ,20230320,   -87951,    36721,    18098
2305   ,全友         ,20230321,      112,        0,       69
2809   ,京城銀       ,20230321,      195,        0,      -15
Y9999  ,加權指數     ,20230321,     4421,    14488,    11559
2305   ,全友         ,20230322,      -68,        0,        0
2809   ,京城銀       ,20230322,     -122,        0,      -18
Y9999  ,加權指數     ,20230322,    86923,      341,     6044
2305   ,全友         ,20230323,       -1,        0,        0
2809   ,京城銀       ,20230323,      392,     -224,      -13
Y9999  ,加權指數     ,20230323,   158221,   -11475,    10305
2305   ,全友         ,20230324,      118,        0,        0
2809   ,京城銀       ,20230324,       47,        0,      -83
Y9999  ,加權指數     ,20230324,    72632,    27471,     7616
2305   ,全友         ,20230327,       -7,        0,        0
2809   ,京城銀       ,20230327,      484,        0,      -26
Y9999  ,加權指數     ,20230327,    -1976,    -5722,    -3057
2305   ,全友         ,20230328,      -66,        0,        0
2809   ,京城銀       ,20230328,      334,        0,       12
Y9999  ,加權指數     ,20230328,     -873,    -6123,   -19321
2305   ,全友         ,20230329,      -54,        0,        0
2809   ,京城銀       ,20230329,      112,        0,       18
Y9999  ,加權指數     ,20230329,   175835,     3432,    11839
2305   ,全友         ,20230330,       47,        0,        0
2809   ,京城銀       ,20230330,      150,        0,       83
Y9999  ,加權指數     ,20230330,    57225,    -2588,     8525
2305   ,全友         ,20230331,       -4,        0,        0
2809   ,京城銀       ,20230331,      718,        0,        1
Y9999  ,加權指數     ,20230331,   169056,    -7354,     5592
2305   ,全友         ,20230406,       20,        0,        0
2809   ,京城銀       ,20230406,      380,        0,       98
Y9999  ,加權指數     ,20230406,     8744,    -1779,    26149
2305   ,全友         ,20230407,       -2,        0,        0
2809   ,京城銀       ,20230407,       58,        0,       56
Y9999  ,加權指數     ,20230407,    37343,     8249,    23903
2305   ,全友         ,20230410,     -251,        0,        1
2809   ,京城銀       ,20230410,      254,        0,       53
Y9999  ,加權指數     ,20230410,    41434,     7445,    15173
2305   ,全友         ,20230411,      -94,        0,       -1
2809   ,京城銀       ,20230411,      453,        0,       29
Y9999  ,加權指數     ,20230411,   179186,     3508,    29210
2305   ,全友         ,20230412,      120,        0,      -23
2809   ,京城銀       ,20230412,      161,        0,       30
Y9999  ,加權指數     ,20230412,   209015,     7312,    32071
2305   ,全友         ,20230413,      -85,        0,        0
2809   ,京城銀       ,20230413,      137,        0,       -7
Y9999  ,加權指數     ,20230413,   134007,     4466,    -5226
2305   ,全友         ,20230414,      -19,        0,        4
2809   ,京城銀       ,20230414,       -8,        0,        2
Y9999  ,加權指數     ,20230414,   180109,    -2510,     7242
2305   ,全友         ,20230417,       61,        0,       -8
2809   ,京城銀       ,20230417,     -203,        0,        7
Y9999  ,加權指數     ,20230417,     6017,     4171,    10423
2305   ,全友         ,20230418,     -229,        0,        0
2809   ,京城銀       ,20230418,       84,       -2,       36
Y9999  ,加權指數     ,20230418,   -39988,    -3377,   -14632
2305   ,全友         ,20230419,      -12,        0,        8
2809   ,京城銀       ,20230419,     -306,        0,       65
Y9999  ,加權指數     ,20230419,   -95731,    -3822,    20642
2305   ,全友         ,20230420,      -75,        0,        0
2809   ,京城銀       ,20230420,       94,        0,      -92
Y9999  ,加權指數     ,20230420,  -139967,   -20251,   -29187
2305   ,全友         ,20230421,       -1,        0,        0
2809   ,京城銀       ,20230421,       65,        0,        8
Y9999  ,加權指數     ,20230421,    38101,    20706,   -32145
2305   ,全友         ,20230424,       14,        0,        0
2809   ,京城銀       ,20230424,      114,        0,      -99
Y9999  ,加權指數     ,20230424,    40558,    23629,   -17101
2305   ,全友         ,20230425,       29,        0,        2
2809   ,京城銀       ,20230425,      161,        0,      292
Y9999  ,加權指數     ,20230425,  -205121,    29927,    -5786
2305   ,全友         ,20230426,      166,        0,        4
2809   ,京城銀       ,20230426,      250,        0,      251
Y9999  ,加權指數     ,20230426,     5769,    33427,    83691
2305   ,全友         ,20230427,       15,        0,        0
2809   ,京城銀       ,20230427,      -16,        0,       15
Y9999  ,加權指數     ,20230427,  -146193,    37800,     5465
2305   ,全友         ,20230428,       79,        0,        0
2809   ,京城銀       ,20230428,      236,        0,       47
Y9999  ,加權指數     ,20230428,   -13288,    15765,    18637
2305   ,全友         ,20230502,      -49,        0,        1
2809   ,京城銀       ,20230502,      179,        0,       78
Y9999  ,加權指數     ,20230502,   151528,    16752,    38560
2305   ,全友         ,20230503,     -129,        0,        0
2809   ,京城銀       ,20230503,       66,        0,       45
Y9999  ,加權指數     ,20230503,   -92252,   -24354,     7291
2305   ,全友         ,20230504,       33,        0,        0
2809   ,京城銀       ,20230504,      659,        0,        4
Y9999  ,加權指數     ,20230504,    34719,    19746,    13241
2305   ,全友         ,20230505,      -25,        0,        0
2809   ,京城銀       ,20230505,     -142,        0,      -31
Y9999  ,加權指數     ,20230505,    -4264,    21909,    13924
2305   ,全友         ,20230508,       -5,        0,        0
2809   ,京城銀       ,20230508,      278,       -9,       54
Y9999  ,加權指數     ,20230508,    66999,    13873,    14071
2305   ,全友         ,20230509,       -5,        0,        0
2809   ,京城銀       ,20230509,      397,        0,       49
Y9999  ,加權指數     ,20230509,    35826,     3414,    -5344
2305   ,全友         ,20230510,       95,        0,        1
2809   ,京城銀       ,20230510,      -69,        0,      103
Y9999  ,加權指數     ,20230510,   -15834,    16789,     5337
2305   ,全友         ,20230511,      -31,        0,        0
2809   ,京城銀       ,20230511,      -27,        0,       31
Y9999  ,加權指數     ,20230511,  -159440,    17512,   -15837
2305   ,全友         ,20230512,      102,        0,       -1
2809   ,京城銀       ,20230512,     -419,        0,       91
Y9999  ,加權指數     ,20230512,  -118308,    12191,    23406
2305   ,全友         ,20230515,       96,        0,        3
2809   ,京城銀       ,20230515,       18,        0,       63
Y9999  ,加權指數     ,20230515,   -67916,    12087,    32534
2305   ,全友         ,20230516,       39,        0,       15
2809   ,京城銀       ,20230516,      117,       -6,      208
Y9999  ,加權指數     ,20230516,   202958,   -12112,   148224
2305   ,全友         ,20230517,       61,        0,       16
2809   ,京城銀       ,20230517,      889,        0,      662
Y9999  ,加權指數     ,20230517,   236829,     1679,   337241
2305   ,全友         ,20230518,     -142,        0,       19
2809   ,京城銀       ,20230518,       83,        0,       87
Y9999  ,加權指數     ,20230518,   339660,     2768,   125304
2305   ,全友         ,20230519,      -83,        0,        5
2809   ,京城銀       ,20230519,      440,        0,      -36
Y9999  ,加權指數     ,20230519,   309143,    14901,    46345
2305   ,全友         ,20230522,      -94,        0,        0
2809   ,京城銀       ,20230522,      940,        0,      -57
Y9999  ,加權指數     ,20230522,   201248,    -5916,    23381
2305   ,全友         ,20230523,      198,        0,       -4
2809   ,京城銀       ,20230523,        9,        0,       12
Y9999  ,加權指數     ,20230523,   126371,    -5929,    13020
2305   ,全友         ,20230524,     -430,        0,        0
2809   ,京城銀       ,20230524,      600,        0,       48
Y9999  ,加權指數     ,20230524,    23844,      431,    55033
2305   ,全友         ,20230525,      -40,        0,        0
2809   ,京城銀       ,20230525,     -427,        0,     -144
Y9999  ,加權指數     ,20230525,  -171746,    42108,     6382
2305   ,全友         ,20230526,      -93,        0,        0
2809   ,京城銀       ,20230526,     -252,        0,     -147
Y9999  ,加權指數     ,20230526,   -53097,     6285,     4344
2305   ,全友         ,20230529,        7,        0,        0
2809   ,京城銀       ,20230529,      277,        0,       52
Y9999  ,加權指數     ,20230529,   235431,     2205,    56956
2305   ,全友         ,20230530,       21,        0,        5
2809   ,京城銀       ,20230530,      333,        0,      197
Y9999  ,加權指數     ,20230530,   -17926,     3366,    -9033
2305   ,全友         ,20230531,      132,        0,       14
2809   ,京城銀       ,20230531,      508,      114,      312
Y9999  ,加權指數     ,20230531,   -34986,   -11273,    86408
2305   ,全友         ,20230601,       22,        0,        0
2809   ,京城銀       ,20230601,      271,      114,      104
Y9999  ,加權指數     ,20230601,   -53236,    24153,    26716
2305   ,全友         ,20230602,       79,        0,        1
2809   ,京城銀       ,20230602,      516,        2,      -38
Y9999  ,加權指數     ,20230602,   223274,    19446,    22293
2305   ,全友         ,20230605,       31,        0,        0
2809   ,京城銀       ,20230605,      143,        0,       95
Y9999  ,加權指數     ,20230605,   170958,    11045,    42701
2305   ,全友         ,20230606,      -48,        0,        0
2809   ,京城銀       ,20230606,      667,        0,      305
Y9999  ,加權指數     ,20230606,    49795,    37061,   -12001
2305   ,全友         ,20230607,       12,        0,        1
2809   ,京城銀       ,20230607,       10,        0,     -143
Y9999  ,加權指數     ,20230607,    94812,    15547,    23551
2305   ,全友         ,20230608,      -46,        0,        0
2809   ,京城銀       ,20230608,       91,        0,       21
Y9999  ,加權指數     ,20230608,  -144200,    65919,     -105
2305   ,全友         ,20230609,       40,        0,        0
2809   ,京城銀       ,20230609,      771,        0,      -99
Y9999  ,加權指數     ,20230609,    58398,    30752,    17298
2305   ,全友         ,20230612,      195,        0,       -2
2809   ,京城銀       ,20230612,      214,        0,     -127
Y9999  ,加權指數     ,20230612,   -57485,    -2153,   -15161
2305   ,全友         ,20230613,     -340,        0,       -5
2809   ,京城銀       ,20230613,      798,      947,     -138
Y9999  ,加權指數     ,20230613,   160404,    -6700,    52185
2305   ,全友         ,20230614,       -9,        0,        0
2809   ,京城銀       ,20230614,      248,     1069,      -99
Y9999  ,加權指數     ,20230614,    79082,    -5476,    63753
2305   ,全友         ,20230615,      -61,        0,        1
2809   ,京城銀       ,20230615,      377,      942,     -242
Y9999  ,加權指數     ,20230615,    84528,   -21287,    28747
2305   ,全友         ,20230616,      -20,        0,       10
2809   ,京城銀       ,20230616,    -3036,     1218,      299
Y9999  ,加權指數     ,20230616,     1425,   -44355,    34748
2305   ,全友         ,20230619,       50,        0,       -3
2809   ,京城銀       ,20230619,    -2454,     3467,     -242
Y9999  ,加權指數     ,20230619,   -84532,    41739,    14383
2305   ,全友         ,20230620,      -54,        0,        0
2809   ,京城銀       ,20230620,    -2289,     3364,      -56
Y9999  ,加權指數     ,20230620,    41684,    -8850,   -43013
2305   ,全友         ,20230621,     -115,        0,        5
2809   ,京城銀       ,20230621,     -742,      519,       67
Y9999  ,加權指數     ,20230621,   -32893,    29490,    40602
2305   ,全友         ,20230626,      -50,        0,       -5
2809   ,京城銀       ,20230626,     -421,      583,       44
Y9999  ,加權指數     ,20230626,  -369902,    33950,    61362
2305   ,全友         ,20230627,      -72,        0,        0
2809   ,京城銀       ,20230627,       12,       86,       64
Y9999  ,加權指數     ,20230627,  -173447,   -15663,   -29245
2305   ,全友         ,20230628,      -91,        0,        0
2809   ,京城銀       ,20230628,       75,      142,       61
Y9999  ,加權指數     ,20230628,  -130338,     6799,    58182
2305   ,全友         ,20230629,       47,        0,        0
2809   ,京城銀       ,20230629,       64,       85,      -27
Y9999  ,加權指數     ,20230629,   -76614,     2613,    85227
2305   ,全友         ,20230630,       10,        0,        0
2809   ,京城銀       ,20230630,      -39,       27,      -12
Y9999  ,加權指數     ,20230630,   -60481,    -3139,   -19920
2305   ,全友         ,20230703,      -46,        0,        0
2809   ,京城銀       ,20230703,       36,       54,      -34
Y9999  ,加權指數     ,20230703,    48644,   -24279,   128118
2305   ,全友         ,20230704,      -40,        0,        2
2809   ,京城銀       ,20230704,       24,      -38,       79
Y9999  ,加權指數     ,20230704,   -75106,   -33509,   -62543
2305   ,全友         ,20230705,      -77,        0,        0
2809   ,京城銀       ,20230705,     1926,        0,     -724
Y9999  ,加權指數     ,20230705,  -185287,     4961,   -38130
2305   ,全友         ,20230706,      -76,        0,       -3
2809   ,京城銀       ,20230706,      176,      -13,      123
Y9999  ,加權指數     ,20230706,  -578591,     1218,   -62782
2305   ,全友         ,20230707,      -50,        0,       -2
2809   ,京城銀       ,20230707,       17,       -9,      186
Y9999  ,加權指數     ,20230707,  -357245,    -3212,   -23472
2305   ,全友         ,20230710,      -72,        0,       -1
2809   ,京城銀       ,20230710,      -60,       17,       69
Y9999  ,加權指數     ,20230710,  -207633,     5182,   -19441
2305   ,全友         ,20230711,       13,        0,        0
2809   ,京城銀       ,20230711,      216,       72,     -170
Y9999  ,加權指數     ,20230711,   279052,   -15116,    34088
2305   ,全友         ,20230712,      -20,        0,        0
2809   ,京城銀       ,20230712,       -2,       -1,     -142
Y9999  ,加權指數     ,20230712,   -69170,    -7368,   -11864
2305   ,全友         ,20230713,      -73,        0,        1
2809   ,京城銀       ,20230713,      780,      -18,     -245
Y9999  ,加權指數     ,20230713,    88308,   -52991,   -39217
2305   ,全友         ,20230714,      -11,        0,       -1
2809   ,京城銀       ,20230714,      181,      -34,     -281
