證券名稱,簡稱,年月日,外資買賣超(千股),投信買賣超(千股),自營買賣超(千股)
Y9999  ,加權指數     ,20230824,    65580,     9886,   -16956
2305   ,全友         ,20230825,       35,        0,       -2
2809   ,京城銀       ,20230825,      831,       16,     -171
Y9999  ,加權指數     ,20230825,  -188601,    10284,   -27834
2305   ,全友         ,20230828,      -24,        0,        8
2809   ,京城銀       ,20230828,      550,       62,      -19
Y9999  ,加權指數     ,20230828,   -96294,    13694,   -30254
2305   ,全友         ,20230829,        5,        0,        1
2809   ,京城銀       ,20230829,      321,        6,        7
Y9999  ,加權指數     ,20230829,    44201,    18199,    15760
2305   ,全友         ,20230830,       68,        0,        1
2809   ,京城銀       ,20230830,      172,      140,       29
Y9999  ,加權指數     ,20230830,   107686,    14459,    18666
2305   ,全友         ,20230831,       -3,        0,        0
2809   ,京城銀       ,20230831,     -147,       14,       27
Y9999  ,加權指數     ,20230831,  -131411,     4933,    18560
2305   ,全友         ,20230901,       10,        0,        0
2809   ,京城銀       ,20230901,       13,        3,      115
Y9999  ,加權指數     ,20230901,    -1575,    19747,     9561
2305   ,全友         ,20230904,       47,        0,        0
2809   ,京城銀       ,20230904,      632,      105,        7
Y9999  ,加權指數     ,20230904,   -79165,    30115,       24
2305   ,全友         ,20230905,       59,        0,       -4
2809   ,京城銀       ,20230905,     -271,       -6,       10
Y9999  ,加權指數     ,20230905,   -47239,    20762,     4371
2305   ,全友         ,20230906,      -78,        0,       -7
2809   ,京城銀       ,20230906,     -304,       30,      -95
Y9999  ,加權指數     ,20230906,  -304288,    47215,   -25135
2305   ,全友         ,20230907,      -31,        0,       -7
2809   ,京城銀       ,20230907,     -224,       60,      -22
Y9999  ,加權指數     ,20230907,  -271923,    47952,   -35817
2305   ,全友         ,20230908,      -10,        0,        0
2809   ,京城銀       ,20230908,       -3,       54,      -11
Y9999  ,加權指數     ,20230908,  -138167,    46510,   -13008
2305   ,全友         ,20230911,      -31,        0,        1
2809   ,京城銀       ,20230911,     -423,       73,       41
Y9999  ,加權指數     ,20230911,  -219515,    59702,   -30259
2305   ,全友         ,20230912,       66,        0,       -1
2809   ,京城銀       ,20230912,      -97,      124,       15
Y9999  ,加權指數     ,20230912,    38000,    43867,     8471
2305   ,全友         ,20230913,       41,        0,        1
2809   ,京城銀       ,20230913,       35,       31,       10
Y9999  ,加權指數     ,20230913,   -18561,    30552,    10471
2305   ,全友         ,20230914,       72,        0,        0
2809   ,京城銀       ,20230914,      476,        0,       -9
Y9999  ,加權指數     ,20230914,   268997,    36601,    27631
2305   ,全友         ,20230915,       62,        0,       -1
2809   ,京城銀       ,20230915,     -406,      488,      -74
Y9999  ,加權指數     ,20230915,    97270,  -145214,     7282
2305   ,全友         ,20230918,       82,        0,       -2
2809   ,京城銀       ,20230918,       52,      496,       -5
Y9999  ,加權指數     ,20230918,  -151554,    24777,   -10633
2305   ,全友         ,20230919,      -80,        0,       -2
2809   ,京城銀       ,20230919,     -464,      465,        2
Y9999  ,加權指數     ,20230919,   -72137,    46804,   -24369
2305   ,全友         ,20230920,      -73,        0,        2
2809   ,京城銀       ,20230920,      -70,      449,       -7
Y9999  ,加權指數     ,20230920,  -182955,    20425,   -76487
2305   ,全友         ,20230921,       -2,        0,        4
2809   ,京城銀       ,20230921,       -5,      517,      107
Y9999  ,加權指數     ,20230921,  -460970,     9745,   -18643
2305   ,全友         ,20230922,      221,        0,       -5
2809   ,京城銀       ,20230922,      247,     -129,       35
Y9999  ,加權指數     ,20230922,  -110154,    15398,     8193
2305   ,全友         ,20230925,      -79,        0,        4
2809   ,京城銀       ,20230925,      393,       86,       -7
Y9999  ,加權指數     ,20230925,   -26190,    24537,    11496
2305   ,全友         ,20230926,       10,        0,       -7
2809   ,京城銀       ,20230926,      174,       82,      -73
Y9999  ,加權指數     ,20230926,  -235687,    26531,   -37605
2305   ,全友         ,20230927,      -47,        0,        0
2809   ,京城銀       ,20230927,      236,       40,      -65
Y9999  ,加權指數     ,20230927,   -69644,    20909,   -36632
2305   ,全友         ,20230928,        7,        0,        1
2809   ,京城銀       ,20230928,     -131,       65,        2
Y9999  ,加權指數     ,20230928,   -33165,    14834,    -1245
2305   ,全友         ,20231002,      -67,        0,        5
2809   ,京城銀       ,20231002,     -269,      127,       68
Y9999  ,加權指數     ,20231002,   -40045,    36698,    29051
2305   ,全友         ,20231003,      -37,        0,       -2
2809   ,京城銀       ,20231003,     -205,        0,      321
Y9999  ,加權指數     ,20231003,  -263157,     9508,    12069
2305   ,全友         ,20231004,     -182,        0,        2
2809   ,京城銀       ,20231004,       77,       44,      150
Y9999  ,加權指數     ,20231004,  -457097,    19712,   -35621
2305   ,全友         ,20231005,      -15,        0,       -5
2809   ,京城銀       ,20231005,     -206,       27,       82
Y9999  ,加權指數     ,20231005,    18913,     5333,    17538
2305   ,全友         ,20231006,      -77,        0,        0
2809   ,京城銀       ,20231006,     -111,       20,      132
Y9999  ,加權指數     ,20231006,   -23700,    24430,    14059
2305   ,全友         ,20231011,       31,        0,        4
2809   ,京城銀       ,20231011,      605,       19,      239
Y9999  ,加權指數     ,20231011,   222514,     6233,    21756
2305   ,全友         ,20231012,      454,        0,       -1
2809   ,京城銀       ,20231012,     -103,        0,      100
Y9999  ,加權指數     ,20231012,   301735,     1106,    25343
2305   ,全友         ,20231013,      -88,        0,        2
2809   ,京城銀       ,20231013,      596,       21,      422
Y9999  ,加權指數     ,20231013,  -139694,    -2720,    31406
2305   ,全友         ,20231016,      -69,        0,        1
2809   ,京城銀       ,20231016,     -261,       75,      477
Y9999  ,加權指數     ,20231016,  -196120,    20321,    11785
2305   ,全友         ,20231017,       25,        0,       -6
2809   ,京城銀       ,20231017,       90,       17,      610
Y9999  ,加權指數     ,20231017,   -84424,    -3762,    30098
2305   ,全友         ,20231018,     -116,        0,        0
2809   ,京城銀       ,20231018,      734,     -591,     1195
Y9999  ,加權指數     ,20231018,  -122606,    -6160,    39250
2305   ,全友         ,20231019,       85,       40,       -1
2809   ,京城銀       ,20231019,     -153,      -26,      794
Y9999  ,加權指數     ,20231019,  -179229,    32633,    56157
2305   ,全友         ,20231020,      124,        0,        0
2809   ,京城銀       ,20231020,     -116,      -89,      224
Y9999  ,加權指數     ,20231020,  -251867,    52156,   -22715
2305   ,全友         ,20231023,       60,       73,       87
2809   ,京城銀       ,20231023,       32,      -68,      144
Y9999  ,加權指數     ,20231023,   -98385,     9633,    -4306
2305   ,全友         ,20231024,      859,        0,      -87
2809   ,京城銀       ,20231024,      -94,       65,       48
Y9999  ,加權指數     ,20231024,   -99771,    28319,     3127
2305   ,全友         ,20231025,     -373,        5,        0
2809   ,京城銀       ,20231025,     -506,       44,      105
Y9999  ,加權指數     ,20231025,   -23456,    40558,    16177
2305   ,全友         ,20231026,     -677,        0,        0
2809   ,京城銀       ,20231026,      -51,        0,      193
Y9999  ,加權指數     ,20231026,  -323011,    14815,   -45444
2305   ,全友         ,20231027,      166,        3,        4
2809   ,京城銀       ,20231027,       54,       17,      126
Y9999  ,加權指數     ,20231027,   -15831,    23014,     -296
2305   ,全友         ,20231030,     -217,        2,        0
2809   ,京城銀       ,20231030,     -155,      112,       60
Y9999  ,加權指數     ,20231030,  -191711,    40179,     9829
2305   ,全友         ,20231031,     -153,        0,       -4
2809   ,京城銀       ,20231031,     -435,       -6,      317
Y9999  ,加權指數     ,20231031,  -182348,    48936,    -4243
2305   ,全友         ,20231101,      -96,        0,        7
2809   ,京城銀       ,20231101,     -577,       78,       48
Y9999  ,加權指數     ,20231101,   -85613,    46130,    11805
2305   ,全友         ,20231102,      101,        2,        0
2809   ,京城銀       ,20231102,     -239,       43,        0
Y9999  ,加權指數     ,20231102,   180069,    29042,    26310
2305   ,全友         ,20231103,       42,        0,        0
2809   ,京城銀       ,20231103,      -48,      102,      -30
Y9999  ,加權指數     ,20231103,   188337,    42381,    17067
2305   ,全友         ,20231106,      307,        0,       -7
2809   ,京城銀       ,20231106,      306,     -149,        0
Y9999  ,加權指數     ,20231106,   202117,     7376,    -1238
2305   ,全友         ,20231107,      -26,        0,        3
2809   ,京城銀       ,20231107,       94,      208,      -33
Y9999  ,加權指數     ,20231107,  -101456,     9804,     2380
2305   ,全友         ,20231108,      244,        0,       -3
2809   ,京城銀       ,20231108,     1494,        0,       -7
Y9999  ,加權指數     ,20231108,   -45002,     3249,     6479
2305   ,全友         ,20231109,     -410,        0,        1
2809   ,京城銀       ,20231109,     -816,      117,        3
Y9999  ,加權指數     ,20231109,   -75534,    18043,     3342
2305   ,全友         ,20231110,     -181,        0,        1
2809   ,京城銀       ,20231110,       92,      -51,      -10
Y9999  ,加權指數     ,20231110,   -78329,    12644,   -10248
2305   ,全友         ,20231113,      -57,        0,        3
2809   ,京城銀       ,20231113,     -281,       51,        6
Y9999  ,加權指數     ,20231113,    64691,    10312,     4205
2305   ,全友         ,20231114,       40,        0,       -3
2809   ,京城銀       ,20231114,      -59,       97,       11
Y9999  ,加權指數     ,20231114,    75712,    11610,    34902
2305   ,全友         ,20231115,      205,        0,        1
2809   ,京城銀       ,20231115,      155,       36,       70
Y9999  ,加權指數     ,20231115,   785246,   -62386,    24685
2305   ,全友         ,20231116,      -74,        0,        0
2809   ,京城銀       ,20231116,      165,       -6,       -4
Y9999  ,加權指數     ,20231116,   365853,    16219,    39225
2305   ,全友         ,20231117,      -52,        0,        0
2809   ,京城銀       ,20231117,       91,       -6,      -48
Y9999  ,加權指數     ,20231117,   236345,     4776,    -2806
2305   ,全友         ,20231120,       95,        0,       -1
2809   ,京城銀       ,20231120,      -20,        0,     -262
Y9999  ,加權指數     ,20231120,   102022,    13628,     2319
2305   ,全友         ,20231121,     -256,        0,        2
2809   ,京城銀       ,20231121,     2032,      -53,     -201
Y9999  ,加權指數     ,20231121,   588308,   -32158,   -39972
2305   ,全友         ,20231122,       83,        0,       -2
2809   ,京城銀       ,20231122,     1290,      190,        7
Y9999  ,加權指數     ,20231122,    -8027,   -28627,     -414
2305   ,全友         ,20231123,     -148,        0,        0
2809   ,京城銀       ,20231123,      -81,       17,      -17
Y9999  ,加權指數     ,20231123,    93367,   -31420,   -10776
2305   ,全友         ,20231124,      -92,        0,        0
2809   ,京城銀       ,20231124,       -7,       -4,      -33
Y9999  ,加權指數     ,20231124,    69092,   -46771,    -6486
2305   ,全友         ,20231127,      -19,        0,        0
2809   ,京城銀       ,20231127,      384,        0,      -15
Y9999  ,加權指數     ,20231127,    30559,   -42402,   -19273
2305   ,全友         ,20231128,      154,        0,        1
2809   ,京城銀       ,20231128,     -132,        0,       11
Y9999  ,加權指數     ,20231128,   376864,   -48051,    28846
2305   ,全友         ,20231129,       19,        0,        0
2809   ,京城銀       ,20231129,      309,        0,      -35
Y9999  ,加權指數     ,20231129,    49038,   -48671,    -9462
2305   ,全友         ,20231130,      106,        0,        0
2809   ,京城銀       ,20231130,      -63,        0,       45
Y9999  ,加權指數     ,20231130,   224939,  -132934,   -11952
2305   ,全友         ,20231201,      -47,        0,        0
2809   ,京城銀       ,20231201,     1408,        0,      -52
Y9999  ,加權指數     ,20231201,   -72152,   -25341,     3536
