證券代碼,簡稱,年月日,成交量(千股),報酬率％,本益比-TEJ
2809   ,京城銀       ,20231109,     1549,    -1.6753,    11.4294
2305   ,全友         ,20231109,     2484,     1.6097,          -
2809   ,京城銀       ,20231110,     1986,     0.6553,    11.5043
2305   ,全友         ,20231110,     3999,    -2.3762,          -
2809   ,京城銀       ,20231113,      734,    -0.5208,    11.4443
2305   ,全友         ,20231113,     1777,    -1.2170,          -
2809   ,京城銀       ,20231114,      849,     0.5236,    11.5043
2305   ,全友         ,20231114,     1985,    -3.2854,          -
2809   ,京城銀       ,20231115,     1774,     0.3906,    11.5492
2305   ,全友         ,20231115,     1790,     0.8493,          -
2809   ,京城銀       ,20231116,      661,     0.1297,    11.5642
2305   ,全友         ,20231116,     1496,     0.0000,          -
2809   ,京城銀       ,20231117,      932,    -0.2591,    11.5342
2305   ,全友         ,20231117,     1345,    -0.4211,          -
2809   ,京城銀       ,20231120,      853,    -0.1299,    11.5192
2305   ,全友         ,20231120,      822,     1.2685,          -
2809   ,京城銀       ,20231121,     3228,     1.9506,    11.7439
2305   ,全友         ,20231121,     1036,    -0.8351,          -
2809   ,京城銀       ,20231122,     2373,     1.1480,    11.8787
2305   ,全友         ,20231122,     1058,     0.6316,          -
2809   ,京城銀       ,20231123,      853,    -0.6305,    11.8038
2305   ,全友         ,20231123,      700,    -0.8368,          -
2809   ,京城銀       ,20231124,      721,    -0.1269,    11.7889
2305   ,全友         ,20231124,      792,    -0.8439,          -
2809   ,京城銀       ,20231127,     1156,     0.3812,    11.8338
2305   ,全友         ,20231127,      671,    -1.4894,          -
2809   ,京城銀       ,20231128,      890,    -0.1266,    11.8188
2305   ,全友         ,20231128,      623,     0.2160,          -
2809   ,京城銀       ,20231129,      852,    -0.1267,    11.8038
2305   ,全友         ,20231129,      530,    -0.8621,          -
2809   ,京城銀       ,20231130,     1815,     0.0000,    11.8038
2305   ,全友         ,20231130,      564,     0.6522,          -
2809   ,京城銀       ,20231201,     1804,     1.1421,     7.8933
2305   ,全友         ,20231201,      462,     0.6479,          -
2809   ,京城銀       ,20231204,      724,    -0.3764,     7.8636
2305   ,全友         ,20231204,      390,    -1.0730,          -
2809   ,京城銀       ,20231205,     2896,     1.5113,     7.9825
2305   ,全友         ,20231205,      793,    -3.0369,          -
2809   ,京城銀       ,20231206,     1032,     0.1241,     7.9924
2305   ,全友         ,20231206,      358,     0.6711,          -
2809   ,京城銀       ,20231207,      945,    -0.2478,     7.9726
2305   ,全友         ,20231207,      296,    -1.1111,          -
2809   ,京城銀       ,20231208,      800,    -0.2484,     7.9528
2305   ,全友         ,20231208,      265,     0.4494,          -
2809   ,京城銀       ,20231211,      739,    -0.1245,     7.9428
2305   ,全友         ,20231211,      584,     2.4609,          -
2809   ,京城銀       ,20231212,     1145,    -0.1247,     7.9329
2305   ,全友         ,20231212,      300,    -1.0917,          -
2809   ,京城銀       ,20231213,     1353,    -0.8739,     7.8636
2305   ,全友         ,20231213,      213,    -0.2208,          -
2809   ,京城銀       ,20231214,     2175,     0.6297,     7.9131
2305   ,全友         ,20231214,      681,     0.2212,          -
2809   ,京城銀       ,20231215,     2505,     0.0000,     7.9131
2305   ,全友         ,20231215,      809,     2.4283,          -
2809   ,京城銀       ,20231218,     3541,    -0.3755,     7.8834
2305   ,全友         ,20231218,      715,    -1.0776,          -
2809   ,京城銀       ,20231219,     4564,    -2.0101,     7.7250
2305   ,全友         ,20231219,      407,    -1.7429,          -
2809   ,京城銀       ,20231220,     3959,     0.0000,     7.7250
2305   ,全友         ,20231220,      233,     0.0000,          -
2809   ,京城銀       ,20231221,     4939,    -1.0256,     7.6457
2305   ,全友         ,20231221,      235,    -0.4435,          -
2809   ,京城銀       ,20231222,     3801,     1.6839,     7.7745
2305   ,全友         ,20231222,      253,    -0.8909,          -
2809   ,京城銀       ,20231225,      609,     0.2548,     7.7943
2305   ,全友         ,20231225,      236,    -0.6742,          -
2809   ,京城銀       ,20231226,      540,     0.0000,     7.7943
2305   ,全友         ,20231226,      144,     0.4525,          -
2809   ,京城銀       ,20231227,     1217,     0.3812,     7.8240
2305   ,全友         ,20231227,      583,     1.3514,          -
2809   ,京城銀       ,20231228,     1566,     0.8861,     7.8933
2305   ,全友         ,20231228,      502,     1.3333,          -
2809   ,京城銀       ,20231229,     1813,     0.2509,     7.9131
2305   ,全友         ,20231229,      215,    -0.4386,          -
2809   ,京城銀       ,20240102,     1402,     0.1252,     7.9230
2305   ,全友         ,20240102,      212,     0.0000,          -
2809   ,京城銀       ,20240103,     1141,    -0.7500,     7.8636
2305   ,全友         ,20240103,      179,    -1.1013,          -
2809   ,京城銀       ,20240104,     3291,     1.7632,     8.0023
2305   ,全友         ,20240104,      366,    -0.6682,          -
2809   ,京城銀       ,20240105,     1987,     0.4950,     8.0419
2305   ,全友         ,20240105,      241,    -0.4484,          -
2809   ,京城銀       ,20240108,     1651,     0.3695,     8.0716
2305   ,全友         ,20240108,      243,    -1.1261,          -
2809   ,京城銀       ,20240109,     1137,    -0.7362,     8.0122
2305   ,全友         ,20240109,      524,    -1.8223,          -
