證券代碼,簡稱,年月日,成交量(千股),報酬率％,本益比-TEJ
2305   ,全友         ,20230214,      288,     0.7890,    86.6401
2809   ,京城銀       ,20230215,     2374,    -2.1521,    46.6013
2305   ,全友         ,20230215,      262,    -1.5656,    85.2837
2809   ,京城銀       ,20230216,     1152,     0.2933,    46.7380
2305   ,全友         ,20230216,      297,    -0.1988,    85.1141
2809   ,京城銀       ,20230217,      720,     0.0000,    46.7380
2305   ,全友         ,20230217,      362,    -0.7968,    84.4359
2809   ,京城銀       ,20230220,      573,     1.1696,    47.2846
2305   ,全友         ,20230220,      497,    -0.6024,    83.9273
2809   ,京城銀       ,20230221,      703,    -0.5780,    47.0113
2305   ,全友         ,20230221,      612,     0.6061,    84.4359
2809   ,京城銀       ,20230222,      977,    -0.5814,    46.7380
2305   ,全友         ,20230222,     1067,    -2.6104,    82.2318
2809   ,京城銀       ,20230223,     1947,    -0.2924,    46.6013
2305   ,全友         ,20230223,      608,    -0.6186,    81.7231
2809   ,京城銀       ,20230224,     1047,     0.0000,    46.6013
2305   ,全友         ,20230224,      788,    -1.8672,    80.1972
2809   ,京城銀       ,20230301,     1498,    -0.8798,    46.1914
2305   ,全友         ,20230301,      608,     0.4228,    80.5363
2809   ,京城銀       ,20230302,      563,     0.4438,    46.3963
2305   ,全友         ,20230302,      477,    -1.2632,    79.5190
2809   ,京城銀       ,20230303,     1550,     1.9146,    47.2846
2305   ,全友         ,20230303,     2508,     9.8081,    87.3183
2809   ,京城銀       ,20230306,      935,     0.2890,    47.4213
2305   ,全友         ,20230306,     6969,     6.7961,    93.2525
2809   ,京城銀       ,20230307,     1398,     1.0086,    47.8996
2305   ,全友         ,20230307,     1829,    -3.4545,    90.0311
2809   ,京城銀       ,20230308,     1031,    -0.1427,    47.8313
2305   ,全友         ,20230308,     1506,    -2.6365,    87.6574
2809   ,京城銀       ,20230309,      812,     0.0000,    47.8313
2305   ,全友         ,20230309,     1508,     0.5803,    88.1660
2809   ,京城銀       ,20230310,      814,    -1.2857,    47.2163
2305   ,全友         ,20230310,     1039,    -0.9615,    87.3183
2809   ,京城銀       ,20230313,     1017,     0.1447,    47.2846
2305   ,全友         ,20230313,      667,    -1.7476,    85.7923
2809   ,京城銀       ,20230314,     1028,    -1.1561,    46.7380
2305   ,全友         ,20230314,      326,    -0.9881,    84.9446
2809   ,京城銀       ,20230315,      726,    -0.2924,    46.6013
2305   ,全友         ,20230315,      352,    -0.3992,    84.6055
